epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,3043.94,0.33956,0.3905,0.16434,0.00606,0.18919,0.99264,0.99922,0.995,0.95631,0.99264,0.99922,0.995,0.95584,0.25796,0.3015,0.0961,0.00853,0,0.00088592,0.00088592,0.00088592
83,3081.8,0.35669,0.39893,0.17181,0.00639,0.20313,0.99264,0.99966,0.995,0.94144,0.99264,0.99966,0.995,0.96516,0.32214,0.26846,0.11585,0.01102,0,0.000865378,0.000865378,0.000865378
84,3121.35,0.32885,0.38492,0.15744,0.00567,0.17914,0.99863,1,0.995,0.94199,0.99863,1,0.995,0.96382,0.32042,0.27531,0.10942,0.01119,0,0.000844899,0.000844899,0.000844899
85,3159.5,0.34637,0.40416,0.15761,0.00601,0.18703,1,0.99937,0.995,0.97068,1,0.99937,0.995,0.9674,0.24598,0.2927,0.08357,0.00807,0,0.000824492,0.000824492,0.000824492
86,3200.43,0.32401,0.36973,0.14998,0.00591,0.17291,1,0.99772,0.995,0.95233,1,0.99772,0.995,0.94824,0.26393,0.33127,0.11376,0.00883,0,0.000804167,0.000804167,0.000804167
87,3239.21,0.3338,0.39998,0.16333,0.00584,0.1838,0.98302,1,0.99478,0.9499,0.98302,1,0.99478,0.95171,0.31851,0.3377,0.116,0.01032,0,0.000783933,0.000783933,0.000783933
88,3280.43,0.33063,0.39536,0.154,0.00579,0.17442,0.99981,1,0.995,0.9733,0.99981,1,0.995,0.96896,0.21167,0.25901,0.07443,0.00702,0,0.000763797,0.000763797,0.000763797
89,3321.08,0.33575,0.38216,0.1651,0.00574,0.17102,0.99178,1,0.99463,0.95992,0.99178,1,0.99463,0.95172,0.25743,0.3125,0.0927,0.0084,0,0.000743769,0.000743769,0.000743769
90,3361.61,0.33852,0.39588,0.15786,0.00633,0.16926,0.99896,0.98519,0.99485,0.97655,0.99896,0.98519,0.99485,0.96303,0.23195,0.28246,0.09163,0.00736,0,0.000723859,0.000723859,0.000723859
91,3402.18,0.3205,0.37998,0.15151,0.00557,0.16492,1,0.99227,0.995,0.97644,1,0.99227,0.995,0.96194,0.20812,0.30829,0.07829,0.00663,0,0.000704073,0.000704073,0.000704073
92,3440.72,0.32099,0.37648,0.15804,0.00555,0.16713,0.9854,0.99972,0.99493,0.96874,0.9854,0.99972,0.99493,0.97131,0.27359,0.27774,0.1162,0.00899,0,0.000684422,0.000684422,0.000684422
93,3481.62,0.32393,0.37494,0.14752,0.00555,0.17572,1,0.99259,0.995,0.97556,1,0.99259,0.995,0.96784,0.19367,0.28032,0.07051,0.00629,0,0.000664914,0.000664914,0.000664914
94,3520.83,0.32207,0.38792,0.15727,0.00546,0.17745,0.98538,0.9983,0.99471,0.969,0.98538,0.9983,0.99471,0.96331,0.23853,0.28715,0.09692,0.00773,0,0.000645557,0.000645557,0.000645557
95,3562.26,0.3346,0.40711,0.15304,0.00564,0.17431,0.99264,0.99929,0.99493,0.96968,0.99264,0.99929,0.99493,0.96756,0.2223,0.27574,0.08988,0.00723,0,0.00062636,0.00062636,0.00062636
96,3601.97,0.31856,0.39614,0.15999,0.0054,0.17809,1,0.97575,0.99442,0.97372,1,0.97575,0.99442,0.95965,0.19999,0.30934,0.10474,0.00644,0,0.000607331,0.000607331,0.000607331
97,3643.09,0.30799,0.36681,0.15464,0.00529,0.16507,0.99836,1,0.995,0.97516,0.99836,1,0.995,0.96742,0.19611,0.2737,0.07646,0.00645,0,0.000588479,0.000588479,0.000588479
98,3683.6,0.31999,0.38546,0.15394,0.00592,0.19375,0.99866,1,0.995,0.97666,0.99866,1,0.995,0.96598,0.20755,0.28047,0.07382,0.00682,0,0.000569811,0.000569811,0.000569811
99,3722.16,0.33274,0.4947,0.16048,0.0063,0.25482,1,0.99225,0.995,0.97138,1,0.99225,0.995,0.96064,0.20526,0.28268,0.07703,0.00655,0,0.000551337,0.000551337,0.000551337
100,3760.57,0.3111,0.36721,0.15158,0.00546,0.16551,0.99959,1,0.995,0.97955,0.99959,1,0.995,0.9668,0.19318,0.26858,0.06628,0.00626,0,0.000533064,0.000533064,0.000533064
101,3796.3,0.32021,0.36417,0.1494,0.00555,0.16367,0.99264,0.99928,0.995,0.98014,0.99264,0.99928,0.995,0.96694,0.18426,0.26384,0.06996,0.00606,0,0.000515,0.000515,0.000515
